Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),EE_z
272,0.022466,0.008500,0.002616,-0.002939,0.007838,0.000113,0.985316
273,0.022123,0.008393,0.002643,-0.002906,0.007729,0.000111,0.985252
274,0.021850,0.008302,0.002704,-0.002876,0.007634,0.000110,0.985188
275,0.021494,0.008203,0.002727,-0.002845,0.007522,0.000109,0.985124
276,0.021151,0.008097,0.002745,-0.002812,0.007414,0.000107,0.985062
277,0.020839,0.007989,0.002777,-0.002779,0.007313,0.000105,0.984999
278,0.020508,0.007886,0.002798,-0.002745,0.007206,0.000104,0.984937
279,0.020175,0.007799,0.002808,-0.002718,0.007103,0.000103,0.984876
280,0.019860,0.007687,0.002827,-0.002684,0.007002,0.000101,0.984815
281,0.019536,0.007594,0.002838,-0.002654,0.006899,0.000100,0.984755
282,0.019205,0.007502,0.002845,-0.002624,0.006794,0.000099,0.984695
283,0.018880,0.007409,0.002851,-0.002594,0.006692,0.000097,0.984636
284,0.018575,0.007296,0.002856,-0.002561,0.006596,0.000096,0.984577
285,0.018239,0.007201,0.002852,-0.002530,0.006492,0.000094,0.984518
286,0.017908,0.007112,0.002844,-0.002502,0.006389,0.000093,0.984460
287,0.017645,0.007021,0.002868,-0.002472,0.006300,0.000092,0.984403
288,0.017391,0.006940,0.002882,-0.002446,0.006217,0.000091,0.984346
289,0.017111,0.006848,0.002887,-0.002416,0.006126,0.000089,0.984290
290,0.016837,0.006760,0.002886,-0.002390,0.006041,0.000088,0.984234
291,0.016569,0.006679,0.002896,-0.002363,0.005952,0.000087,0.984178
292,0.016251,0.006582,0.002874,-0.002333,0.005857,0.000086,0.984123
293,0.016004,0.006498,0.002877,-0.002306,0.005774,0.000085,0.984069
294,0.015779,0.006418,0.002896,-0.002279,0.005697,0.000083,0.984015
295,0.015526,0.006339,0.002891,-0.002254,0.005616,0.000082,0.983961
296,0.015314,0.006274,0.002910,-0.002231,0.005543,0.000081,0.983908
297,0.015116,0.006184,0.002921,-0.002203,0.005474,0.000080,0.983855
298,0.014876,0.006112,0.002919,-0.002179,0.005397,0.000079,0.983803
299,0.014710,0.006063,0.002945,-0.002160,0.005333,0.000078,0.983751
300,0.014527,0.005968,0.002958,-0.002131,0.005270,0.000077,0.983700
301,0.014329,0.005921,0.002963,-0.002114,0.005204,0.000076,0.983649
302,0.014162,0.005860,0.002982,-0.002093,0.005143,0.000075,0.983599
303,0.013967,0.005789,0.002982,-0.002070,0.005077,0.000074,0.983549
304,0.013812,0.005720,0.003001,-0.002046,0.005020,0.000073,0.983500
305,0.013591,0.005641,0.002988,-0.002022,0.004949,0.000072,0.983451
306,0.013435,0.005588,0.003002,-0.002002,0.004892,0.000071,0.983402
307,0.013320,0.005523,0.003025,-0.001981,0.004844,0.000070,0.983354
308,0.013149,0.005466,0.003032,-0.001961,0.004785,0.000069,0.983307
309,0.012919,0.005381,0.003007,-0.001935,0.004716,0.000068,0.983259
310,0.012829,0.005358,0.003037,-0.001923,0.004673,0.000067,0.983213
311,0.012635,0.005278,0.003030,-0.001898,0.004609,0.000066,0.983166
312,0.012624,0.005257,0.003088,-0.001886,0.004583,0.000065,0.983120
313,0.012418,0.005173,0.003067,-0.001861,0.004521,0.000064,0.983075
314,0.012291,0.005132,0.003077,-0.001844,0.004471,0.000064,0.983030
315,0.012090,0.005065,0.003056,-0.001824,0.004410,0.000063,0.982985
316,0.011977,0.005016,0.003062,-0.001806,0.004365,0.000062,0.982941
317,0.011835,0.004957,0.003067,-0.001786,0.004314,0.000061,0.982897
318,0.011767,0.004921,0.003094,-0.001771,0.004277,0.000060,0.982854
319,0.011656,0.004864,0.003103,-0.001752,0.004235,0.000060,0.982811
320,0.011501,0.004806,0.003091,-0.001733,0.004184,0.000059,0.982768
321,0.011373,0.004769,0.003090,-0.001719,0.004136,0.000058,0.982726
322,0.011203,0.004699,0.003071,-0.001697,0.004083,0.000057,0.982684
323,0.011103,0.004672,0.003075,-0.001685,0.004042,0.000057,0.982642
