Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),EE_x,EE_y,EE_z,Kp_x,Kp_y,Kp_z,Kp_rx,Kp_ry,Kp_rz,Kd_x,Kd_y,Kd_z,Kd_rx,Kd_ry,Kd_rz
84,25.821096,0.941576,21.174355,-0.288714,7.414351,-0.411617,0.499379,-0.020697,0.427812,300.0000,5.0000,226.8269,185.7222,115.9769,5.0000,7.1584,1.0000,1.0000,60.0000,60.0000,39.6331
85,27.277632,5.634329,20.678566,-0.333780,8.002578,0.909130,0.497723,-0.020715,0.427839,300.0000,5.0000,222.7057,184.4302,114.6572,5.0000,7.2839,1.0000,1.0000,60.0000,60.0000,40.0447
86,26.721148,-0.611379,20.251122,-1.052167,7.770111,1.290549,0.496586,-0.020622,0.427837,300.0000,5.0000,218.2903,183.1410,113.2061,5.0000,7.4495,1.0000,1.0000,60.0000,60.0000,40.4087
87,24.658688,-1.275022,19.939701,-0.540273,7.250075,-1.473562,0.495131,-0.020566,0.427786,300.0000,5.0000,213.5988,181.8813,111.5179,5.0000,7.6567,1.0000,1.0000,60.0000,60.0000,40.7307
88,24.957321,3.197421,19.566776,-0.486429,6.913939,0.194911,0.493529,-0.020609,0.427781,300.0000,5.0000,208.6928,180.6749,109.6663,5.0000,7.9060,1.0000,1.0000,60.0000,60.0000,41.0144
89,26.079401,-0.510472,18.439512,-0.365783,7.978741,0.606496,0.492006,-0.020731,0.427796,300.0000,5.0000,203.6073,179.5208,107.6412,5.0000,8.1987,1.0000,1.0000,60.0000,60.0000,41.2657
90,22.968801,-0.419633,17.565704,-1.602509,6.751123,1.586875,0.490517,-0.020682,0.427747,300.0000,5.0000,198.2703,178.4210,105.3562,5.0000,8.5385,1.0000,1.0000,60.0000,60.0000,41.4942
91,23.889376,1.487828,17.648094,-0.612689,7.067179,-0.356427,0.488960,-0.020559,0.427747,300.0000,5.0000,192.7162,177.3888,102.9684,5.0000,8.9270,1.0000,1.0000,60.0000,59.8331,41.7057
92,23.050039,0.999098,16.700207,-1.309974,6.885237,0.893719,0.487456,-0.020505,0.427750,300.0000,5.0000,186.9367,176.4498,100.5098,5.0000,9.3544,1.0000,1.0000,60.0000,59.2396,41.9150
93,21.989344,0.355678,15.471174,0.004286,6.534250,2.008153,0.485932,-0.020657,0.427706,300.0000,5.0000,181.0141,175.6461,97.9773,5.0000,9.7950,1.0000,1.0000,60.0000,58.3070,42.1434
94,28.842379,1.576167,14.780772,-0.766069,9.493147,-0.675926,0.484384,-0.020601,0.427770,300.0000,5.0000,175.0507,174.9896,95.2612,5.0000,10.2161,1.0000,1.0000,60.0000,57.0934,42.4085
95,21.777700,0.747199,16.219040,-0.662871,6.753187,0.191086,0.483995,-0.020542,0.427833,299.7382,5.0000,169.1365,174.4640,92.3923,5.0000,10.5883,1.0000,1.0000,60.0000,55.6566,42.7176
96,23.620855,1.519839,15.323461,-0.716666,6.520147,0.163431,0.483745,-0.020565,0.427882,297.9463,5.0000,163.5180,174.0841,89.4062,5.0000,10.8734,1.0000,1.0000,60.0000,54.1103,43.0908
97,24.020563,2.309113,14.903915,-0.597976,6.291404,0.169655,0.483539,-0.020578,0.427924,295.2666,5.0000,158.4079,173.8566,86.4604,5.0000,11.0390,1.0000,1.0000,60.0000,52.5741,43.5435
